"state","year","freq","state_code","mean_dur"
"alabama",1939,1,"AL",300
"alabama",1951,1,"AL",259200
"alabama",1962,1,"AL",NA
"alabama",1965,2,"AL",45
"alabama",1966,1,"AL",180
"alabama",1967,3,"AL",170
"alabama",1968,2,"AL",237900
"alabama",1969,1,"AL",105
"alabama",1972,3,"AL",434500
"alabama",1973,5,"AL",2247300
"alabama",1974,1,"AL",10
"alabama",1975,3,"AL",760
"alabama",1976,2,"AL",15000
"alabama",1978,3,"AL",864270
"alabama",1980,3,"AL",1584000
"alabama",1981,1,"AL",NA
"alabama",1984,2,"AL",432060
"alabama",1985,1,"AL",864000
"alabama",1987,3,"AL",2800
"alabama",1988,1,"AL",2700
"alabama",1992,1,"AL",216000
"alabama",1993,1,"AL",60
"alabama",1994,4,"AL",750
"alabama",1995,3,"AL",1296900
"alabama",1996,2,"AL",330
"alabama",1997,5,"AL",388968
"alabama",1998,3,"AL",420
"alabama",1999,4,"AL",432202.5
"alabama",2000,2,"AL",480
"alabama",2001,2,"AL",600
"alabama",2002,1,"AL",NA
"alabama",2003,1,"AL",3600
"alabama",2004,3,"AL",405
"alabama",2005,5,"AL",346022
"alabama",2006,28,"AL",457243.962962963
"alabama",2007,48,"AL",251108.707317073
"alabama",2008,46,"AL",318603.846153846
"alabama",2009,31,"AL",310831.034482759
"alabama",2010,23,"AL",193229.318181818
"alabama",2011,30,"AL",182929.981481481
"alabama",2012,64,"AL",406245
"alabama",2013,75,"AL",289892.272727273
"alabama",2014,113,"AL",402498.529411765
"alabama",2015,57,"AL",214672.653061224
"alabama",2016,44,"AL",421697.368421053
"alabama",2017,56,"AL",415973.773584906
"alabama",2018,22,"AL",253792.5
"alabama",2019,50,"AL",303106.829268293
"alabama",2020,55,"AL",498787.674418605
"alabama",2021,3,"AL",460
"alabama",NA,9,"AL",144215
"alaska",1949,1,"AK",120
"alaska",1954,1,"AK",1140
"alaska",1957,1,"AK",180
"alaska",1968,1,"AK",60
"alaska",1969,1,"AK",240
"alaska",1974,1,"AK",18000
"alaska",1976,1,"AK",600
"alaska",1978,3,"AK",400
"alaska",1987,1,"AK",432000
"alaska",1988,1,"AK",3600
"alaska",1989,1,"AK",3600
"alaska",1995,1,"AK",1036800
"alaska",1996,1,"AK",720
"alaska",1997,1,"AK",900
"alaska",1998,2,"AK",225
"alaska",2000,2,"AK",950400
"alaska",2001,2,"AK",900
"alaska",2002,1,"AK",10
"alaska",2003,1,"AK",1200
"alaska",2004,2,"AK",756450
"alaska",2005,6,"AK",4540
"alaska",2006,12,"AK",291763.636363636
"alaska",2007,5,"AK",277200
"alaska",2008,13,"AK",288933.333333333
"alaska",2009,15,"AK",917179.285714286
"alaska",2010,12,"AK",576343.333333333
"alaska",2011,17,"AK",109200
"alaska",2012,41,"AK",325969.736842105
"alaska",2013,47,"AK",146960.930232558
"alaska",2014,36,"AK",359873.333333333
"alaska",2015,34,"AK",406347.1875
"alaska",2016,41,"AK",1154281.76470588
"alaska",2017,20,"AK",213810
"alaska",2018,22,"AK",240393.333333333
"alaska",2019,14,"AK",278406.428571429
"alaska",2020,14,"AK",134440.909090909
"alaska",NA,7,"AK",494280
"arizona",1953,1,"AZ",NA
"arizona",1959,1,"AZ",60
"arizona",1968,1,"AZ",14400
"arizona",1969,2,"AZ",210
"arizona",1972,1,"AZ",NA
"arizona",1974,2,"AZ",1800
"arizona",1975,4,"AZ",570
"arizona",1976,1,"AZ",240
"arizona",1977,1,"AZ",120
"arizona",1978,5,"AZ",2882400
"arizona",1979,2,"AZ",1410
"arizona",1980,2,"AZ",2700
"arizona",1981,1,"AZ",2100
"arizona",1984,2,"AZ",180
"arizona",1985,4,"AZ",1200
"arizona",1986,2,"AZ",390
"arizona",1987,4,"AZ",438060
"arizona",1988,6,"AZ",432415
"arizona",1989,5,"AZ",216492
"arizona",1990,1,"AZ",1800
"arizona",1991,1,"AZ",180
"arizona",1992,3,"AZ",490
"arizona",1993,8,"AZ",79174266.25
"arizona",1994,4,"AZ",1387.5
"arizona",1995,6,"AZ",1160
"arizona",1996,5,"AZ",648690
"arizona",1997,38,"AZ",108396.833333333
"arizona",1998,2,"AZ",240
"arizona",1999,7,"AZ",1594.28571428571
"arizona",2000,10,"AZ",493989.142857143
"arizona",2001,7,"AZ",371522.142857143
"arizona",2002,9,"AZ",540573.75
"arizona",2003,9,"AZ",589457.142857143
"arizona",2004,6,"AZ",87870
"arizona",2005,18,"AZ",260644.285714286
"arizona",2006,104,"AZ",151614.674157303
"arizona",2007,124,"AZ",282238.657142857
"arizona",2008,161,"AZ",348752.867346939
"arizona",2009,152,"AZ",342746.274074074
"arizona",2010,107,"AZ",411489.752688172
"arizona",2011,150,"AZ",469572.785714286
"arizona",2012,188,"AZ",279868.606936416
"arizona",2013,215,"AZ",354945
"arizona",2014,275,"AZ",324198.218623482
"arizona",2015,262,"AZ",288766.404958678
"arizona",2016,217,"AZ",452528.724489796
"arizona",2017,193,"AZ",369125.689655172
"arizona",2018,83,"AZ",465849.74025974
"arizona",2019,187,"AZ",445716.52173913
"arizona",2020,199,"AZ",428008.301886792
"arizona",2021,29,"AZ",448475.818181818
"arizona",NA,20,"AZ",223466.470588235
"arkansas",1955,1,"AR",864000
"arkansas",1957,2,"AR",600
"arkansas",1965,1,"AR",600
"arkansas",1966,1,"AR",NA
"arkansas",1967,1,"AR",14400
"arkansas",1968,2,"AR",150
"arkansas",1969,1,"AR",300
"arkansas",1970,1,"AR",14400
"arkansas",1971,1,"AR",120
"arkansas",1973,2,"AR",1296900
"arkansas",1974,1,"AR",NA
"arkansas",1976,1,"AR",259200
"arkansas",1979,2,"AR",1320
"arkansas",1980,1,"AR",600
"arkansas",1981,1,"AR",NA
"arkansas",1983,2,"AR",300
"arkansas",1984,2,"AR",433800
"arkansas",1985,2,"AR",10800
"arkansas",1986,1,"AR",30
"arkansas",1987,4,"AR",495
"arkansas",1988,1,"AR",NA
"arkansas",1989,2,"AR",10050
"arkansas",1991,2,"AR",331170150
"arkansas",1997,4,"AR",172830
"arkansas",1999,3,"AR",210
"arkansas",2000,1,"AR",7200
"arkansas",2001,1,"AR",60
"arkansas",2002,2,"AR",5640
"arkansas",2003,2,"AR",300
"arkansas",2004,1,"AR",420
"arkansas",2005,5,"AR",3000
"arkansas",2006,19,"AR",963635
"arkansas",2007,25,"AR",595632.272727273
"arkansas",2008,33,"AR",374534.642857143
"arkansas",2009,24,"AR",295929.130434783
"arkansas",2010,42,"AR",627330.46875
"arkansas",2011,39,"AR",435031.648648649
"arkansas",2012,50,"AR",165841.276595745
"arkansas",2013,52,"AR",477571.956521739
"arkansas",2014,30,"AR",421313.47826087
"arkansas",2015,39,"AR",616267.272727273
"arkansas",2016,36,"AR",803982
"arkansas",2017,39,"AR",450927.5
"arkansas",2018,37,"AR",377410.3125
"arkansas",2019,65,"AR",241422.025
"arkansas",2020,82,"AR",255480
"arkansas",2021,5,"AR",433350
"arkansas",NA,8,"AR",456951.428571429
"california",1928,1,"CA",600
"california",1942,1,"CA",NA
"california",1946,1,"CA",864000
"california",1947,1,"CA",1800
"california",1948,2,"CA",900
"california",1950,2,"CA",480
"california",1951,1,"CA",NA
"california",1952,3,"CA",432120
"california",1953,1,"CA",300
"california",1954,6,"CA",324487.5
"california",1955,2,"CA",600
"california",1956,3,"CA",380
"california",1957,3,"CA",80
"california",1958,2,"CA",216225
"california",1959,6,"CA",518832
"california",1960,5,"CA",97800
"california",1961,1,"CA",NA
"california",1962,1,"CA",NA
"california",1963,3,"CA",1100
"california",1964,4,"CA",648630
"california",1965,6,"CA",216770
"california",1966,9,"CA",110268.75
"california",1967,8,"CA",1297878.75
"california",1968,10,"CA",1220
"california",1969,7,"CA",654355.714285714
"california",1970,5,"CA",518736
"california",1971,8,"CA",543745.714285714
"california",1972,7,"CA",122820
"california",1973,6,"CA",434160
"california",1974,10,"CA",108562.5
"california",1975,8,"CA",309377.142857143
"california",1976,14,"CA",764880
"california",1977,12,"CA",217606.458333333
"california",1978,15,"CA",625543.846153846
"california",1979,16,"CA",583871.25
"california",1980,13,"CA",43791
"california",1981,16,"CA",783.166666666667
"california",1982,8,"CA",333.75
"california",1983,9,"CA",912840
"california",1984,5,"CA",1296984
"california",1985,8,"CA",494166.428571429
"california",1986,9,"CA",698.571428571429
"california",1987,9,"CA",622766.25
"california",1988,9,"CA",400
"california",1989,9,"CA",174103.333333333
"california",1990,20,"CA",91488.9473684211
"california",1991,8,"CA",260130
"california",1992,11,"CA",1039833
"california",1993,13,"CA",217222.5
"california",1994,21,"CA",119266.25
"california",1995,17,"CA",1209904
"california",1996,20,"CA",501888
"california",1997,20,"CA",239983.235294118
"california",1998,16,"CA",72548
"california",1999,18,"CA",81964.875
"california",2000,25,"CA",623886
"california",2001,23,"CA",391681.764705882
"california",2002,15,"CA",568014.642857143
"california",2003,18,"CA",635763.529411765
"california",2004,24,"CA",514923.954545455
"california",2005,27,"CA",432927.6
"california",2006,368,"CA",251657.522222222
"california",2007,517,"CA",333828.016771488
"california",2008,602,"CA",365098.857536765
"california",2009,545,"CA",286212.485743381
"california",2010,524,"CA",365379.335483871
"california",2011,530,"CA",331139.554865424
"california",2012,645,"CA",549253.057758621
"california",2013,641,"CA",450783.079526227
"california",2014,762,"CA",439447.912552891
"california",2015,702,"CA",410965.562305296
"california",2016,497,"CA",568453.617977528
"california",2017,501,"CA",507469.591836735
"california",2018,278,"CA",432571.088709677
"california",2019,425,"CA",358576.597938144
"california",2020,543,"CA",330314.843612335
"california",2021,60,"CA",535136.320754717
"california",NA,98,"CA",319343.454545455
"colorado",1950,2,"CO",108002.5
"colorado",1954,1,"CO",240
"colorado",1956,1,"CO",3600
"colorado",1957,1,"CO",900
"colorado",1959,1,"CO",3600
"colorado",1964,1,"CO",900
"colorado",1965,1,"CO",18000
"colorado",1967,1,"CO",1200
"colorado",1968,1,"CO",600
"colorado",1969,2,"CO",300
"colorado",1972,2,"CO",120
"colorado",1974,5,"CO",1512075
"colorado",1975,1,"CO",1296000
"colorado",1976,5,"CO",216195
"colorado",1977,3,"CO",720040
"colorado",1978,1,"CO",900
"colorado",1979,2,"CO",1036800
"colorado",1980,2,"CO",216150
"colorado",1981,3,"CO",540030
"colorado",1983,2,"CO",432450
"colorado",1986,1,"CO",60
"colorado",1987,4,"CO",162712.5
"colorado",1988,1,"CO",60
"colorado",1989,2,"CO",330
"colorado",1990,1,"CO",1296000
"colorado",1991,1,"CO",3888000
"colorado",1992,2,"CO",1050
"colorado",1993,3,"CO",867900
"colorado",1994,1,"CO",2592000
"colorado",1995,2,"CO",1296600
"colorado",1996,3,"CO",660
"colorado",1997,4,"CO",219615
"colorado",1998,3,"CO",870100
"colorado",1999,2,"CO",1296030
"colorado",2000,3,"CO",580300
"colorado",2001,6,"CO",173244
"colorado",2002,1,"CO",30
"colorado",2003,1,"CO",300
"colorado",2004,9,"CO",108870.125
"colorado",2005,11,"CO",282225
"colorado",2006,72,"CO",633473.180327869
"colorado",2007,78,"CO",351351.081081081
"colorado",2008,95,"CO",391934.943181818
"colorado",2009,84,"CO",508509.743589744
"colorado",2010,61,"CO",1197480.26785714
"colorado",2011,104,"CO",274862.547368421
"colorado",2012,110,"CO",412869.841584158
"colorado",2013,129,"CO",389241.176470588
"colorado",2014,185,"CO",473287.735849057
"colorado",2015,154,"CO",443539.51048951
"colorado",2016,184,"CO",393592.189349112
"colorado",2017,145,"CO",294440.243902439
"colorado",2018,104,"CO",1148316.02272727
"colorado",2019,112,"CO",436380
"colorado",2020,203,"CO",348070.131578947
"colorado",2021,24,"CO",239530
"colorado",NA,22,"CO",149949.230769231
"connecticut",1960,1,"CT",300
"connecticut",1965,1,"CT",120
"connecticut",1967,2,"CT",1296180
"connecticut",1969,1,"CT",120
"connecticut",1970,2,"CT",390
"connecticut",1971,1,"CT",600
"connecticut",1972,1,"CT",1296000
"connecticut",1973,1,"CT",900
"connecticut",1974,1,"CT",10800
"connecticut",1975,2,"CT",360
"connecticut",1977,2,"CT",600
"connecticut",1978,2,"CT",648300
"connecticut",1980,2,"CT",545400
"connecticut",1984,1,"CT",90
"connecticut",1985,1,"CT",300
"connecticut",1988,2,"CT",1950
"connecticut",1989,1,"CT",7776000
"connecticut",1992,3,"CT",172.5
"connecticut",1994,1,"CT",300
"connecticut",1995,2,"CT",518700
"connecticut",1997,2,"CT",450
"connecticut",1999,1,"CT",150
"connecticut",2000,1,"CT",600
"connecticut",2001,1,"CT",1728000
"connecticut",2002,1,"CT",600
"connecticut",2004,1,"CT",NA
"connecticut",2005,1,"CT",259200
"connecticut",2006,8,"CT",119370
"connecticut",2007,18,"CT",219848.571428571
"connecticut",2008,22,"CT",75756.6666666667
"connecticut",2009,24,"CT",303987.25
"connecticut",2010,17,"CT",454046.142857143
"connecticut",2011,31,"CT",238492.857142857
"connecticut",2012,62,"CT",113312.678571429
"connecticut",2013,47,"CT",572487.391304348
"connecticut",2014,37,"CT",329990.322580645
"connecticut",2015,38,"CT",343647.1875
"connecticut",2016,24,"CT",671634.285714286
"connecticut",2017,33,"CT",429398.888888889
"connecticut",2018,38,"CT",416578.846153846
"connecticut",2019,44,"CT",457539.642857143
"connecticut",2020,49,"CT",418981.764705882
"connecticut",2021,10,"CT",693654
"connecticut",NA,6,"CT",370.583333333333
"delaware",1949,1,"DE",60
"delaware",1967,1,"DE",720
"delaware",1969,1,"DE",60
"delaware",1970,1,"DE",1050
"delaware",1972,1,"DE",NA
"delaware",1974,1,"DE",900
"delaware",1976,1,"DE",120
"delaware",1982,1,"DE",2592000
"delaware",1984,2,"DE",420
"delaware",1988,1,"DE",2592000
"delaware",1990,1,"DE",2592000
"delaware",1993,1,"DE",3600
"delaware",1995,1,"DE",60
"delaware",1999,2,"DE",972060
"delaware",2003,1,"DE",120
"delaware",2006,9,"DE",339.285714285714
"delaware",2007,13,"DE",12930.5454545455
