Date.Time,City,State,Shape,Duration,Summary,Posted,Country,pop,lat,long,capital
2020-12-31,Edmonton,AB,Formation,3-5,Three Orange Lights Triangle,2021-01-19,Canada,831979,53.57,-113.54,2
2020-12-20,Edmonton,AB,Oval,LESS THAN 1 SECOND,"VERY, VERY FAST OBJECT",2021-01-19,Canada,831979,53.57,-113.54,2
2020-11-15,Calgary,AB,Circle,2-3 minites,Red and Orange Blue White flashing lights in clear night sky move in cricle motion,2020-12-23,Canada,991432,51.05,-114.06,0
2020-11-02,Okotoks,AB,Formation,20 minutes,"Either 6 in formation of a hexagon, or one massive hexagon.",2020-12-23,Canada,15734,50.72,-113.96,0
2020-10-11,Brooks,AB,Light,2 minutes,Bright orb in clear sunny sky just before dusk in a clear sky. Bright light appears for 30 seconds disappeared then reappeared for 20 s,2020-12-23,Canada,13045,50.57,-111.91,0
2020-09-16,Calgary,AB,Other,1 hour+,Bow shaped object with bright flickering orange lights hovers over downtown Calgary,2020-11-05,Canada,991432,51.05,-114.06,0
2020-09-08,Edmonton,AB,Triangle,10 seconds,"Grey Triangle appears out of the black sky, descends and moves east accelerating at a phenominal rate.",2020-11-05,Canada,831979,53.57,-113.54,2
2020-09-01,Edmonton,AB,Light,3 minutes,"I was riding my pedal bike to the 711 in st.albert,Alberta from near the casino when I was riding my bike from 711 there was a Super Br",2020-09-04,Canada,831979,53.57,-113.54,2
2020-08-26,Edmonton,AB,Circle,5 seconds,Sitting on my front bench outside my house looking up listening to music. A glowing white orb at cloud level zips from the East to the,2020-08-27,Canada,831979,53.57,-113.54,2
2020-08-26,Edmonton,AB,Changing,hours,cluster of bright colored lights,2020-08-27,Canada,831979,53.57,-113.54,2
2020-08-22,Calgary,AB,Oval,15 seconds,Silvery white oval moving fast west of Calgary,2020-08-27,Canada,991432,51.05,-114.06,0
2020-08-21,Lethbridge,AB,Unknown,1 minute,Green soundless object seen in Lethbridge night sky,2020-08-27,Canada,71390,49.69,-112.83,0
2020-07-28,Lethbridge,AB,Light,7 seconds,"Very fast, and faint 3 lights traveling in a northbound heading",2020-07-31,Canada,71390,49.69,-112.83,0
2020-07-21,Lethbridge,AB,Formation,30 seconds,6 dark triangle shapes in formation,2020-07-23,Canada,71390,49.69,-112.83,0
2020-06-02,Ponoka,AB,Light,6 hours,Almost every night since October there has been a bright light following me at night.Some nights it will meet up with a smaller lig,2020-06-25,Canada,6734,52.68,-113.57,0
