Date.Time,City,State,Shape,Duration,Summary,Posted,Country,pop,lat,long,capital
2020-12-31,Edmonton,AB,Formation,,Three Orange Lights Triangle,2021-01-19,Canada,831979,53.57,-113.54,2
2020-12-20,Edmonton,AB,Oval,86400.0,"VERY, VERY FAST OBJECT",2021-01-19,Canada,831979,53.57,-113.54,2
2020-11-15,Calgary,AB,Circle,150.0,Red and Orange Blue White flashing lights in clear night sky move in cricle motion,2020-12-23,Canada,991432,51.05,-114.06,0
2020-11-02,Okotoks,AB,Formation,1200.0,"Either 6 in formation of a hexagon, or one massive hexagon.",2020-12-23,Canada,15734,50.72,-113.96,0
2020-10-11,Brooks,AB,Light,120.0,Bright orb in clear sunny sky just before dusk in a clear sky. Bright light appears for 30 seconds disappeared then reappeared for 20 s,2020-12-23,Canada,13045,50.57,-111.91,0
2020-09-16,Calgary,AB,Other,3600.0,Bow shaped object with bright flickering orange lights hovers over downtown Calgary,2020-11-05,Canada,991432,51.05,-114.06,0
2020-09-08,Edmonton,AB,Triangle,864000.0,"Grey Triangle appears out of the black sky, descends and moves east accelerating at a phenominal rate.",2020-11-05,Canada,831979,53.57,-113.54,2
2020-09-01,Edmonton,AB,Light,180.0,"I was riding my pedal bike to the 711 in st.albert,Alberta from near the casino when I was riding my bike from 711 there was a Super Br",2020-09-04,Canada,831979,53.57,-113.54,2
2020-08-26,Edmonton,AB,Circle,432000.0,Sitting on my front bench outside my house looking up listening to music. A glowing white orb at cloud level zips from the East to the,2020-08-27,Canada,831979,53.57,-113.54,2
2020-08-26,Edmonton,AB,Changing,,cluster of bright colored lights,2020-08-27,Canada,831979,53.57,-113.54,2
2020-08-22,Calgary,AB,Oval,1296000.0,Silvery white oval moving fast west of Calgary,2020-08-27,Canada,991432,51.05,-114.06,0
2020-08-21,Lethbridge,AB,Unknown,60.0,Green soundless object seen in Lethbridge night sky,2020-08-27,Canada,71390,49.69,-112.83,0
2020-07-28,Lethbridge,AB,Light,604800.0,"Very fast, and faint 3 lights traveling in a northbound heading",2020-07-31,Canada,71390,49.69,-112.83,0
2020-07-21,Lethbridge,AB,Formation,2592000.0,6 dark triangle shapes in formation,2020-07-23,Canada,71390,49.69,-112.83,0
2020-06-02,Ponoka,AB,Light,21600.0,Almost every night since October there has been a bright light following me at night.Some nights it will meet up with a smaller lig,2020-06-25,Canada,6734,52.68,-113.57,0
2020-04-30,Calgary,AB,Disk,300.0,"At approximately 10:00pm, I spotted a large white light in the sky, it was very bright. I went outside to inspect it further and the li",2020-06-25,Canada,991432,51.05,-114.06,0
2020-04-21,Airdrie,AB,Chevron,864000.0,"Very large silent Chevron boomerang shape moving north approximately 1500 mph no noise. Instant fear, checked family and went into base",2020-06-25,Canada,25863,51.3,-114.02,0
2020-04-18,Edmonton,AB,Light,240.0,"I saw 2 lights heading against one another, perhaps satellites.  ((Starlink satellites))",2020-05-01,Canada,831979,53.57,-113.54,2
2020-04-18,Calgary,AB,Formation,660.0,"18 consecutive lights, following a course, some swirling in a circular patterns.  ((Starlink satellites?))",2020-06-25,Canada,991432,51.05,-114.06,0
2020-04-18,Edmonton,AB,Triangle,432000.0,"Triangular, no sound, no lights emitted, almost fully blended into the black night sky (no clouds to determine altitude )",2020-05-01,Canada,831979,53.57,-113.54,2
2020-04-15,Calgary,AB,Oval,900.0,"Large, fixed object to the west.",2020-06-25,Canada,991432,51.05,-114.06,0
2020-03-20,Calgary,AB,Triangle,120.0,"Triangle shape, no sound",2020-05-15,Canada,991432,51.05,-114.06,0
2020-03-15,Calgary,AB,Formation,14400.0,"In Calgary's north east skys from midnight till About 5am anywhere between 3 and 6 craft can be seen,  undulating,  shaking Irracticly,",2020-05-15,Canada,991432,51.05,-114.06,0
2020-02-26,Edmonton,AB,Other,240.0,"Boomerang shape, 12 red lights in back in groups of 4. Green and white in the front. Black body  ship. Moving very slow and no noise .",2020-04-09,Canada,831979,53.57,-113.54,2
2020-02-25,Edmonton,AB,Light,900.0,Bright light.,2020-04-09,Canada,831979,53.57,-113.54,2
2020-02-25,Calgary,AB,Unknown,7776000.0,"16 consecutive lights equidistant from each other.  ((""Spacelink"" satellites??))",2020-04-09,Canada,991432,51.05,-114.06,0
2020-02-23,Lacombe,AB,Triangle,180.0,My dad and his employee first seen this large triangle high up in altitude. It then dropped lower. That is when he called me outside to,2020-11-05,Canada,10177,52.47,-113.73,0
2020-02-18,Spruce Grove,AB,Light,240.0,"Bright green light that was stationary for a few moments, then started to move quickly back & forth, then when over us it turned red fo",2020-02-25,Canada,17976,53.53,-113.92,0
2020-02-03,Cochrane,AB,Triangle,1296000.0,"Grey pie shaped object hovering in sky, rotates, turns black, then disappears.",2020-02-13,Canada,17798,51.19,-114.47,0
2020-01-28,Okotoks,AB,Light,3888000.0,"Five lights equally separated and travelling in a line quite fast.  ((""Starlink"" satellites??))",2020-01-31,Canada,15734,50.72,-113.96,0
2020-01-26,Cochrane,AB,Unknown,480.0,"String on various lights on sky flying on straight line and disappearing one by one on the same spot.  ((""Starlink satellites??))",2020-01-31,Canada,17798,51.19,-114.47,0
2020-01-25,Red Deer,AB,Other,600.0,"Silent, no man baskets, no light, floating in a nortward direction over Red Deer AB about 5:20 PM Jan 25/20",2020-01-31,Canada,75099,52.27,-113.83,0
2020-01-01,Calgary,AB,Light,900.0,"We watched as a row of lights equal distance apart travelled across the sky and disappeared.  ((""Starlink"" satellites??))",2020-01-31,Canada,991432,51.05,-114.06,0
2019-12-29,Spruce Grove,AB,Light,300.0,"12 + lights flying in a straight line then dissapeared at the same spot.  ((""Starlink"" satellites??))",2020-02-07,Canada,17976,53.53,-113.92,0
2019-12-29,Cochrane,AB,Light,900.0,"Fleet of UFO's pass over Cochrane, Ab.  ((""Spacelink"" satellites??))",2020-02-07,Canada,17798,51.19,-114.47,0
2019-12-29,Edson,AB,Light,600.0,Evenly spaced lights in the night sky flying high over head looking like stars.No sounds kept coming over head from the tree line t,2020-02-07,Canada,8069,53.58,-116.42,0
2019-12-29,Mayerthorpe,AB,Light,450.0,"A single silent object with red and white flashing lights seen hovering above the treeline. Lasted 5-10 minutes while I was outside, wa",2020-02-07,Canada,1670,53.95,-115.14,0
2019-12-28,Calgary,AB,Light,150.0,"I noticed what appeared to be a satellite traveling/  ((""Starlink"" satellites??))",2020-02-07,Canada,991432,51.05,-114.06,0
2019-12-27,Wetaskiwin,AB,,300.0,We were travelling southbound on highway 2 just north of wetaskiwin and saw a bright white light pointed at us in the sky. As we travel,2020-02-07,Canada,11327,52.97,-113.38,0
2019-12-18,Cochrane,AB,Triangle,2700.0,My friend and I saw many black triangles with flashing lights flying around us,2019-12-19,Canada,17798,51.19,-114.47,0
2019-12-05,High River,AB,Unknown,900.0,Line of Lights in the early morning sky.  ((NUFORC Note:  Possible Starlink satellites.  PD)),2019-12-19,Canada,9941,50.58,-113.87,0
2019-12-03,Red Deer,AB,Light,240.0,December 3rd 2019 7:04 a.m. .  ((NUFORC Note:  Starlink satellites?  PD)),2019-12-19,Canada,75099,52.27,-113.83,0
2019-12-02,Cochrane,AB,Triangle,180.0,A triangle shaped object with 3 glowing lights left a V shaped cloud before disappearing shortly after it was seen Southwest of Cochran,2019-12-19,Canada,17798,51.19,-114.47,0
2019-11-22,Wetaskiwin,AB,Light,600.0,"Slow fashing red lights with beam of light coming from the front, made no noise and then followed our vehicle for a bit.",2019-12-01,Canada,11327,52.97,-113.38,0
2019-11-22,Millet,AB,Chevron,1800.0,We are 30km S/E of the Edmonton International  Airport. Nice evening. We let our dogs out and went with them to stargaze. We noticed re,2019-12-01,Canada,2167,53.08,-113.47,0
2019-11-15,Airdrie,AB,Sphere,86400.0,"2 round dull orange lights traveling one behind the other, same direction and speed above clouds.",2019-12-01,Canada,25863,51.3,-114.02,0
2019-11-10,Hinton,AB,Sphere,259200.0,Dark green luminous object dropped outta atmosphere rapidly behind mountain,2019-12-01,Canada,10005,53.4,-117.58,0
