"lat","lng","year","freq","city","state","state_code","mean_dur"
19.0698,-155.5751,2016,1,"naalehu","hawaii","HI",7776000
19.4961,-154.9454,2006,1,"pahoa","hawaii","HI",172800
19.4961,-154.9454,2007,1,"pahoa","hawaii","HI",864000
19.4995,-155.8937,2008,2,"captain cook","hawaii","HI",300
19.4995,-155.8937,2019,2,"captain cook","hawaii","HI",990
19.5286,-155.9033,2017,1,"kealakekua","hawaii","HI",3600
19.5358,-155.1596,2012,1,"mountain view","hawaii","HI",300
19.5833,-155.0721,2012,1,"kurtistown","hawaii","HI",5184000
19.6156,-155.0372,2007,1,"keaau","hawaii","HI",300
19.6156,-155.0372,2009,1,"keaau","hawaii","HI",600
19.6156,-155.0372,2010,2,"keaau","hawaii","HI",432060
19.6156,-155.0372,2015,2,"keaau","hawaii","HI",993690
19.6156,-155.0372,2016,1,"keaau","hawaii","HI",180
19.6156,-155.0372,2019,1,"keaau","hawaii","HI",NA
19.6156,-155.0372,NA,1,"keaau","hawaii","HI",300
19.6238,-155.9269,2020,1,"holualoa","hawaii","HI",300
19.6886,-155.0864,2008,2,"hilo","hawaii","HI",600
19.6886,-155.0864,2011,1,"hilo","hawaii","HI",2400
19.6886,-155.0864,2012,2,"hilo","hawaii","HI",210
19.6886,-155.0864,2013,1,"hilo","hawaii","HI",300
19.6886,-155.0864,2015,3,"hilo","hawaii","HI",760
19.6886,-155.0864,2017,1,"hilo","hawaii","HI",NA
20.0124,-155.6378,2015,1,"waimea","hawaii","HI",1987200
20.0124,-155.6378,2017,1,"waimea","hawaii","HI",3024000
20.0746,-155.4656,2012,1,"honokaa","hawaii","HI",90
20.0746,-155.4656,2014,1,"honokaa","hawaii","HI",NA
20.2267,-155.805,1995,1,"kapaau","hawaii","HI",1728000
20.2267,-155.805,2019,1,"kapaau","hawaii","HI",120
20.6873,-156.4291,2014,1,"wailea","hawaii","HI",900
20.6873,-156.4291,2019,2,"wailea","hawaii","HI",1560
20.7653,-156.4454,2007,1,"kihei","hawaii","HI",864000
20.7653,-156.4454,2010,2,"kihei","hawaii","HI",900
20.7653,-156.4454,2011,1,"kihei","hawaii","HI",NA
20.7653,-156.4454,2012,3,"kihei","hawaii","HI",360
20.7653,-156.4454,2013,4,"kihei","hawaii","HI",280965
20.7653,-156.4454,2014,3,"kihei","hawaii","HI",6120
20.7653,-156.4454,2015,1,"kihei","hawaii","HI",300
20.7653,-156.4454,2016,2,"kihei","hawaii","HI",2850
20.7653,-156.4454,2020,3,"kihei","hawaii","HI",1728020
20.7706,-156.3284,2019,2,"kula","hawaii","HI",450
20.7706,-156.3284,2020,1,"kula","hawaii","HI",1728000
20.772,-156.0107,2013,2,"hana","hawaii","HI",130200
20.772,-156.0107,2014,1,"hana","hawaii","HI",300
20.772,-156.0107,2017,2,"hana","hawaii","HI",1512000
20.8329,-156.3415,2013,1,"pukalani","hawaii","HI",600
20.8329,-156.3415,2014,1,"pukalani","hawaii","HI",90
20.8329,-156.3415,2020,1,"pukalani","hawaii","HI",120
20.8391,-156.5221,2020,1,"waikapu","hawaii","HI",3888000
20.848,-156.319,2012,2,"makawao","hawaii","HI",1641600
20.848,-156.319,2018,2,"makawao","hawaii","HI",870
20.848,-156.319,NA,1,"makawao","hawaii","HI",300
20.8715,-156.4603,2010,4,"kahului","hawaii","HI",216682.5
20.8715,-156.4603,2018,1,"kahului","hawaii","HI",300
20.8715,-156.4603,2019,3,"kahului","hawaii","HI",2592300
20.8834,-156.5059,1995,1,"wailuku","hawaii","HI",600
20.8834,-156.5059,2011,1,"wailuku","hawaii","HI",60
20.8834,-156.5059,2012,1,"wailuku","hawaii","HI",259200
20.8834,-156.5059,2013,2,"wailuku","hawaii","HI",1350
