"","City","State","Sightings","Airport Count"
"1","Phoenix","AZ",484,3
"2","Las Vegas","NV",434,3
"3","Seattle","WA",396,2
"4","Portland","OR",371,1
"5","San Diego","CA",365,3
"6","Los Angeles","CA",353,2
"7","Tucson","AZ",318,4
"8","Chicago","IL",299,4
"9","Orlando","FL",294,3
"10","Albuquerque","NM",292,2
"11","Boise","ID",270,1
"12","Miami","FL",249,3
"13","Myrtle Beach","SC",249,1
"14","Houston","TX",239,6
"15","Austin","TX",227,2
"16","Denver","CO",226,3
"17","Sacramento","CA",217,4
"18","San Jose","CA",193,2
"19","Colorado Springs","CO",189,1
"20","Columbus","OH",189,4
"21","Indianapolis","IN",180,2
"22","Jacksonville","FL",177,4
"23","San Antonio","TX",175,4
"24","St. Louis","MO",175,1
"25","Mesa","AZ",172,2
"26","Salt Lake City","UT",170,1
"27","Louisville","KY",169,2
"28","Tampa","FL",168,3
"29","Philadelphia","PA",167,3
"30","Vancouver","WA",163,0
"31","Spokane","WA",161,3
"32","Charlotte","NC",157,1
"33","Pittsburgh","PA",152,2
"34","San Francisco","CA",146,1
"35","Virginia Beach","VA",144,0
"36","Dallas","TX",129,3
"37","Omaha","NE",128,2
"38","Nashville","TN",127,2
"39","Tulsa","OK",127,2
"40","Fresno","CA",125,1
"41","Tacoma","WA",124,2
"42","North Myrtle Beach","SC",123,1
"43","Reno","NV",123,1
"44","Anchorage","AK",122,4
"45","Cincinnati","OH",121,1
"46","Long Beach","CA",117,1
"47","Knoxville","TN",111,2
"48","Salem","OR",111,1
"49","Eugene","OR",110,1
"50","Wichita","KS",110,3
"51","Everett","WA",105,1
"52","Oklahoma City","OK",105,3
"53","Baltimore","MD",103,2
"54","Santa Fe","NM",103,1
"55","New York","NY",102,5
"56","Atlanta","GA",101,5
"57","Scottsdale","AZ",101,1
"58","Raleigh","NC",99,0
"59","Sarasota","FL",99,1
"60","Fort Collins","CO",98,1
"61","Rochester","NY",98,1
"62","Chandler","AZ",96,1
"63","Honolulu","HI",93,1
"64","Richmond","VA",92,2
"65","Yakima","WA",92,1
"66","Alexandria","VA",91,0
"67","Bakersfield","CA",91,1
"68","Bellingham","WA",91,1
"69","Kansas City","MO",91,2
"70","Cape Coral","FL",90,0
"71","Naples","FL",90,1
"72","Buffalo","NY",89,1
"73","St. Petersburg","FL",89,2
"74","Grand Rapids","MI",88,1
"75","Minneapolis","MN",87,1
"76","Milwaukee","WI",86,2
"77","El Paso","TX",84,2
"78","Gilbert","AZ",84,0
"79","Madison","WI",84,1
"80","Memphis","TN",84,2
"81","Springfield","MO",84,1
"82","Henderson","NV",83,1
"83","Modesto","CA",83,1
"84","Tempe","AZ",83,0
"85","Glendale","AZ",82,1
"86","Riverside","CA",82,3
"87","Detroit","MI",81,3
"88","Santa Rosa","CA",81,1
"89","Santa Barbara","CA",80,1
"90","Boulder","CO",79,1
"91","Greensboro","NC",78,1
"92","Grand Junction","CO",77,1
"93","Anaheim","CA",76,0
"94","Fort Wayne","IN",75,1
"95","Port St. Lucie","FL",75,0
"96","Des Moines","IA",74,1
"97","Olympia","WA",74,1
"98","Aurora","CO",73,0
"99","Newburgh","IN",73,0
"100","Bremerton","WA",71,1
"101","Evansville","IN",71,1
"102","Huntington Beach","CA",71,0
"103","Las Cruces","NM",71,1
"104","Wilmington","NC",71,1
"105","Pensacola","FL",70,2
"106","Auburn","WA",69,0
"107","Marietta","GA",69,1
"108","Beaverton","OR",68,0
"109","Billings","MT",68,1
"110","Lincoln","NE",68,1
"111","Redding","CA",68,1
"112","St. Augustine","FL",67,0
"113","Cedar Rapids","IA",66,1
"114","Clarksville","TN",66,1
"115","Cleveland","OH",66,2
"116","Columbia","MO",66,1
"117","Birmingham","AL",65,1
"118","Fort Lauderdale","FL",65,2
"119","Irvine","CA",65,0
"120","Pueblo","CO",65,1
"121","Fort Worth","TX",64,2
"122","Longmont","CO",64,0
"123","Nampa","ID",64,0
"124","Boston","MA",63,1
"125","Missoula","MT",63,1
"126","Syracuse","NY",63,1
"127","Temecula","CA",63,0
"128","Corona","CA",62,0
"129","Corpus Christi","TX",62,2
"130","Dayton","OH",62,3
"131","Escondido","CA",62,0
"132","Fayetteville","NC",62,1
"133","Lake Havasu City","AZ",62,1
"134","Lexington","KY",62,0
"135","Toledo","OH",62,1
"136","Stockton","CA",61,1
"137","Bend","OR",60,1
"138","Fairbanks","AK",60,2
"139","Bozeman","MT",59,1
"140","Lakewood","CO",59,0
"141","Littleton","CO",59,0
"142","Medford","OR",59,1
"143","Ocala","FL",59,1
"144","Reading","PA",59,1
"145","Staten Island","NY",59,0
"146","Burbank","CA",58,1
"147","Mountlake Terrace","WA",58,0
"148","Oakland","CA",58,1
"149","Surprise","AZ",58,0
"150","West Palm Beach","FL",58,2
"151","Edmonds","WA",57,0
