"","State","Sightings","Airport Count"
"1","CA",8819,115
"2","FL",5151,84
"3","WA",3893,35
"4","TX",3460,99
"5","AZ",2847,37
"6","PA",2717,36
"7","OH",2680,35
"8","IL",2567,26
"9","NC",2311,42
"10","OR",2076,26
"11","NY",1999,39
"12","CO",1965,29
"13","MI",1963,42
"14","GA",1770,57
"15","MO",1662,19
"16","IN",1569,24
"17","VA",1544,25
"18","SC",1537,31
"19","WI",1483,37
"20","TN",1328,17
"21","MN",1310,22
"22","MD",1066,12
"23","NM",996,25
"24","KY",987,17
"25","NJ",987,13
"26","NV",949,18
"27","UT",929,15
"28","ID",920,13
"29","OK",914,27
"30","AL",831,28
"31","IA",791,16
"32","MA",739,18
"33","KS",719,38
"34","LA",680,15
"35","AR",679,18
"36","MT",653,20
"37","CT",546,10
"38","WV",490,15
"39","MS",455,19
"40","NE",428,17
"41","AK",382,186
"42","HI",352,19
"43","NH",266,7
"44","DE",256,3
"45","SD",249,11
"46","WY",215,16
"47","RI",191,5
"48","ME",181,14
"49","ND",175,11
"50","VT",118,4
"51","DC",10,0
