Duration,lat,lng
864000,61.5971,-149.1147
120,61.5971,-149.1147
600,61.5971,-149.1147
120,61.5971,-149.1147
60,61.5971,-149.1147
,61.5971,-149.1147
,61.5971,-149.1147
900,61.5971,-149.1147
1296000,61.5971,-149.1147
1200,61.5971,-149.1147
120,61.5971,-149.1147
300,61.5971,-149.1147
1200,61.5971,-149.1147
1200,61.5971,-149.1147
900,61.5971,-149.1147
60,61.5971,-149.1147
60,61.5971,-149.1147
3456000,61.5971,-149.1147
600,61.5971,-149.1147
1200,61.5971,-149.1147
60,61.1508,-149.1091
,61.1508,-149.1091
660,61.1508,-149.1091
2700,61.1508,-149.1091
180,61.1508,-149.1091
900,61.1508,-149.1091
180,61.1508,-149.1091
600,61.1508,-149.1091
1800,61.1508,-149.1091
900,61.1508,-149.1091
1200,61.1508,-149.1091
,61.1508,-149.1091
300,61.1508,-149.1091
60,61.1508,-149.1091
300,61.1508,-149.1091
172800,61.1508,-149.1091
300,61.1508,-149.1091
1728000,61.1508,-149.1091
1728000,61.1508,-149.1091
1800,61.1508,-149.1091
,61.1508,-149.1091
180,61.1508,-149.1091
1200,61.1508,-149.1091
,61.1508,-149.1091
13824000,61.1508,-149.1091
2592000,61.1508,-149.1091
432000,61.1508,-149.1091
259200,61.1508,-149.1091
7200,61.1508,-149.1091
300,61.1508,-149.1091
216000,61.1508,-149.1091
6739200,61.1508,-149.1091
150,61.1508,-149.1091
450,61.1508,-149.1091
240,61.1508,-149.1091
180,61.1508,-149.1091
172800,61.1508,-149.1091
300,61.1508,-149.1091
1800,61.1508,-149.1091
1800,61.1508,-149.1091
270,61.1508,-149.1091
180,61.1508,-149.1091
1800,61.1508,-149.1091
172800,61.1508,-149.1091
300,61.1508,-149.1091
864000,61.1508,-149.1091
864000,61.1508,-149.1091
210,61.1508,-149.1091
864000,61.1508,-149.1091
864000,61.1508,-149.1091
120,61.1508,-149.1091
7200,61.1508,-149.1091
10800,61.1508,-149.1091
240,61.1508,-149.1091
1296000,61.1508,-149.1091
150,61.1508,-149.1091
450,61.1508,-149.1091
345600,61.1508,-149.1091
60,61.1508,-149.1091
900,61.1508,-149.1091
1728000,61.1508,-149.1091
300,61.1508,-149.1091
864000,61.1508,-149.1091
300,61.1508,-149.1091
600,61.1508,-149.1091
300,61.1508,-149.1091
,61.1508,-149.1091
172800,61.1508,-149.1091
180,61.1508,-149.1091
900,61.1508,-149.1091
150,61.1508,-149.1091
2592000,61.1508,-149.1091
180,61.1508,-149.1091
,61.1508,-149.1091
5400,61.1508,-149.1091
300,61.1508,-149.1091
240,61.1508,-149.1091
60,61.1508,-149.1091
1800,61.1508,-149.1091
2592000,61.1508,-149.1091
1200,61.1508,-149.1091
864000,61.1508,-149.1091
420,61.1508,-149.1091
3600,61.1508,-149.1091
300,61.1508,-149.1091
300,61.1508,-149.1091
120,61.1508,-149.1091
750,61.1508,-149.1091
120,61.1508,-149.1091
600,61.1508,-149.1091
300,61.1508,-149.1091
300,61.1508,-149.1091
172800,61.1508,-149.1091
,61.1508,-149.1091
300,61.1508,-149.1091
300,61.1508,-149.1091
,61.1508,-149.1091
900,61.1508,-149.1091
60,61.1508,-149.1091
60,61.1508,-149.1091
1200,61.1508,-149.1091
750,61.1508,-149.1091
150,61.1508,-149.1091
2700,61.1508,-149.1091
2700,61.1508,-149.1091
,61.1508,-149.1091
388800,61.1508,-149.1091
,61.1508,-149.1091
259200,61.1508,-149.1091
172800,61.1508,-149.1091
600,61.1508,-149.1091
7200,61.1508,-149.1091
,61.1508,-149.1091
1800,61.1508,-149.1091
2700,61.1508,-149.1091
1512000,61.1508,-149.1091
900,61.1508,-149.1091
1036800,61.1508,-149.1091
420,61.1508,-149.1091
600,61.1508,-149.1091
60,61.1508,-149.1091
300,61.1508,-149.1091
3600,55.3556,-131.6698
60,55.3556,-131.6698
,55.3556,-131.6698
120,55.3556,-131.6698
120,55.3556,-131.6698
960,55.3556,-131.6698
7200,55.3556,-131.6698
1512000,55.3556,-131.6698
180,55.3556,-131.6698
210,60.7928,-161.7917
60,60.7928,-161.7917
600,60.7928,-161.7917
780,60.7928,-161.7917
120,60.7928,-161.7917
2592000,60.7928,-161.7917
450,60.7928,-161.7917
7776000,60.7928,-161.7917
900,60.7928,-161.7917
,60.1124,-149.3925
300,60.1124,-149.3925
,60.1124,-149.3925
1800,58.4546,-134.1739
2160000,58.4546,-134.1739
259200,58.4546,-134.1739
2592000,58.4546,-134.1739
1728000,58.4546,-134.1739
2592000,58.4546,-134.1739
