"lat","lng","freq","city","state","state_code","mean_dur"
19.0698,-155.5751,1,"naalehu","hawaii","HI",7776000
19.4961,-154.9454,2,"pahoa","hawaii","HI",518400
19.4995,-155.8937,4,"captain cook","hawaii","HI",645
19.5286,-155.9033,1,"kealakekua","hawaii","HI",3600
19.5358,-155.1596,1,"mountain view","hawaii","HI",300
19.5833,-155.0721,1,"kurtistown","hawaii","HI",5184000
19.6156,-155.0372,9,"keaau","hawaii","HI",356610
19.6238,-155.9269,1,"holualoa","hawaii","HI",300
19.6886,-155.0864,10,"hilo","hawaii","HI",733.333333333333
20.0124,-155.6378,2,"waimea","hawaii","HI",2505600
20.0746,-155.4656,2,"honokaa","hawaii","HI",90
20.2267,-155.805,2,"kapaau","hawaii","HI",864060
20.6873,-156.4291,3,"wailea","hawaii","HI",1340
20.7653,-156.4454,20,"kihei","hawaii","HI",399933.333333333
20.7706,-156.3284,3,"kula","hawaii","HI",864225
20.772,-156.0107,5,"hana","hawaii","HI",656940
20.8329,-156.3415,3,"pukalani","hawaii","HI",270
20.8391,-156.5221,1,"waikapu","hawaii","HI",3888000
20.848,-156.319,5,"makawao","hawaii","HI",657048
20.8715,-156.4603,8,"kahului","hawaii","HI",864518.571428571
20.8834,-156.5059,9,"wailuku","hawaii","HI",29520
20.8848,-156.6618,20,"lahaina","hawaii","HI",499771.666666667
20.9062,-156.3678,1,"paia","hawaii","HI",120
20.9276,-156.6795,4,"kaanapali","hawaii","HI",217.5
20.9959,-156.6418,1,"kapalua","hawaii","HI",NA
21.0905,-156.9981,4,"kaunakakai","hawaii","HI",2250
21.3181,-158.0073,14,"ewa beach","hawaii","HI",113873.076923077
21.3215,-158.0812,1,"kalaeloa","hawaii","HI",240
21.3294,-157.846,94,"honolulu","hawaii","HI",406704.21686747
21.3403,-158.0665,6,"kapolei","hawaii","HI",64848.75
21.3421,-157.7303,5,"waimanalo","hawaii","HI",108225
21.3858,-158.0103,2,"waipahu","hawaii","HI",NA
21.3865,-157.9232,4,"aiea","hawaii","HI",43702.5
21.3892,-158.1445,2,"nanakuli","hawaii","HI",765
21.392,-157.7396,9,"kailua","hawaii","HI",595710
21.4031,-157.9566,1,"pearl city","hawaii","HI",60
21.4062,-157.7904,8,"kaneohe","hawaii","HI",1107461.25
21.4143,-157.9965,1,"waipio","hawaii","HI",216000
21.4569,-158.1759,11,"waianae","hawaii","HI",225420
