Date/Time,Duration,Sightings
1928-07-12,600,1
1929-01-28,300,1
1930-06-12,120,1
1930-08-10,1200,1
1934-09-15,432000,1
1939-06-01,300,1
1940-06-01,1800,1
1942-06-01,150,1
1943-10-15,1800,1
1944-06-01,3600,1
1945-06-01,300,1
1945-06-15,600,1
1946-05-15,600,1
1946-06-30,30,1
1946-06-30,864000,1
1946-07-01,864000,1
1947-04-15,360,1
1947-06-01,300,1
1947-06-09,600,1
1947-06-20,1800,1
1947-07-04,864000,1
1947-07-10,900,1
1947-07-15,864000,1
1947-08-10,240,1
1947-08-15,120,1
1947-12-24,1200,1
1948-06-15,180,1
1948-06-15,777600,1
1948-06-30,8,1
1948-07-15,900,1
1948-12-12,180,1
1949-06-30,300,1
1949-06-30,900,1
1949-07-01,120,1
1949-08-15,60,1
1949-08-15,240,1
1949-09-15,864000,1
1949-10-15,150,1
1949-12-23,540,1
1950-06-01,600,1
1950-06-07,600,1
1950-06-15,240,1
1950-06-15,600,1
1950-06-15,864000,1
1950-06-20,600,1
1950-06-30,5,1
1950-06-30,216000,1
1950-06-30,2592000,1
1950-07-02,864000,1
1950-07-15,360,1
1950-08-01,60,1
1950-08-15,180,1
1950-08-15,900,1
1950-09-10,600,1
1950-12-12,600,1
1951-02-06,600,1
1951-06-30,600,1
1951-06-30,259200,1
1951-07-15,9000,1
1951-07-31,300,1
1952-06-01,864000,2
1952-06-15,240,1
1952-06-30,600,1
1952-06-30,5400,1
1952-06-30,10800,1
1952-06-30,18000,1
1952-07-01,1800,1
1952-09-09,180,1
1952-10-01,90,1
1952-10-15,180,1
1952-10-15,432000,1
1953-04-01,180,1
1953-06-01,300,1
1953-06-30,35,1
1953-06-30,300,1
1953-07-01,300,1
1953-07-04,2250,1
1953-07-17,1800,1
1953-11-13,120,1
1954-02-01,1140,1
1954-02-10,120,1
1954-02-15,1350,1
1954-05-26,604800,1
1954-06-01,150,1
1954-06-01,300,1
1954-06-10,240,1
1954-06-30,300,1
1954-06-30,432000,1
1954-07-01,1296000,1
1954-07-15,180,1
1954-08-15,604800,1
1954-10-01,60,1
1954-10-15,691200,1
1955-01-27,60,1
1955-01-31,1200,1
1955-03-01,600,1
1955-05-15,300,1
1955-06-06,300,1
1955-06-15,1800,1
1955-06-30,120,1
1955-06-30,300,1
1955-06-30,864000,1
1955-09-17,300,1
1956-03-06,864000,1
1956-05-17,20,1
1956-06-01,2700,1
1956-06-06,2592000,1
1956-06-15,600,2
1956-06-16,21600,1
1956-06-24,120,1
1956-06-30,300,1
1956-06-30,600,1
1956-06-30,750,1
1956-07-14,420,1
1956-07-15,300,1
1956-07-15,2592000,1
1956-08-15,3600,1
1956-09-09,300,1
1956-12-01,210,1
1957-06-01,300,1
1957-06-30,60,1
1957-06-30,210,1
1957-06-30,300,1
1957-06-30,600,1
1957-06-30,7776000,1
1957-07-13,600,1
1957-07-15,120,1
1957-07-15,900,1
1957-08-01,180,1
1957-08-07,3600,1
1957-08-17,3600,1
1957-09-01,30,1
1957-09-01,180,1
1957-09-05,60,1
1957-09-15,13,1
1957-09-15,600,1
1957-10-01,180,1
1958-06-06,86400,1
1958-06-15,450,1
1958-06-15,1800,1
1958-06-30,240,1
1958-06-30,300,2
1958-06-30,30600,1
1958-06-30,7776000,1
1958-08-08,300,1
1958-08-10,1200,1
1958-08-15,120,1
1958-08-23,150,1
1958-09-01,1512000,1
1958-09-14,3888000,1
1958-10-25,90,1
1958-10-30,600,1
1958-11-25,864000,1
1958-12-01,432000,1
1959-03-11,90,1
1959-03-15,120,1
1959-04-01,2250,1
1959-05-30,3600,1
1959-06-01,300,1
1959-06-05,3600,1
1959-06-10,1800,1
1959-06-15,720,1
1959-06-30,60,1
1959-06-30,1200,1
1959-07-01,240,1
1959-07-01,2592000,1
1959-08-13,900,1
1959-08-15,2700,1
1959-09-28,600,2
1959-10-01,3456000,1
1959-12-30,2592000,1
1960-03-16,300,1
1960-04-14,1800,1
1960-04-30,300,1
1960-06-01,300,2
1960-06-01,1500,1
1960-06-15,300,1
1960-06-15,900,1
1960-06-21,7776000,1
1960-07-01,1350,1
1960-07-15,1500,1
1960-07-15,1800,1
1960-08-01,600,1
1960-08-10,1050,1
1960-08-15,1200,1
1960-08-16,60,1
1960-08-17,388800,1
1960-08-30,1296000,1
1960-09-30,300,1
1960-10-31,240,1
1961-01-01,2592000,1
1961-03-12,10800,1
1961-05-15,900,1
1961-06-01,2700,1
1961-06-10,60,1
1961-06-30,300,2
1961-06-30,900,1
1961-06-30,1800,1
1961-06-30,864000,1
1961-07-15,660,1
1961-07-15,18000,1
1961-08-05,510,1
1961-08-05,900,1
1961-09-15,300,1
1961-10-01,120,1
1961-10-01,1800,1
1961-10-10,300,1
1961-10-15,120,1
1961-12-05,432000,1
1962-02-23,120,1
1962-03-01,1500,1
1962-03-08,1800,1
1962-03-15,600,1
1962-06-01,300,1
1962-06-15,750,1
1962-06-30,240,1
1962-06-30,300,1
1962-06-30,450,1
1962-07-01,600,1
1962-07-15,180,1
1962-07-15,1800,2
1962-07-20,90,1
1962-07-24,120,1
1962-08-01,120,1
1962-08-15,300,1
1962-08-16,300,1
1962-09-15,900,1
1962-09-29,180,1
1962-11-15,60,1
1963-01-01,3600,1
1963-03-12,480,1
1963-03-15,300,1
1963-04-07,600,1
1963-04-10,600,1
1963-04-20,900,1
1963-05-01,86400,1
1963-05-04,3600,1
1963-05-04,86400,1
1963-05-30,5184000,1
1963-06-01,120,1
1963-06-01,300,2
1963-06-01,3600,1
1963-06-11,3600,1
1963-06-15,60,1
1963-06-15,300,2
1963-06-15,900,1
1963-06-30,120,2
1963-06-30,300,1
1963-06-30,1200,1
1963-07-14,600,1
1963-07-15,1800,1
1963-07-15,7200,2
1963-08-10,1800,1
1963-10-04,7200,1
1963-12-10,1200,1
1964-01-10,120,1
1964-01-25,300,1
1964-02-15,300,1
1964-03-01,60,1
1964-03-29,1200,1
1964-03-30,1800,1
1964-04-03,450,1
1964-04-15,1200,1
1964-05-05,900,1
1964-06-01,300,1
1964-06-01,600,1
1964-06-01,1800,1
1964-06-09,2592000,1
1964-06-10,120,1
1964-06-15,10800,1
1964-06-28,600,1
1964-06-29,900,1
1964-06-30,180,1
1964-07-07,1200,1
1964-07-07,2592000,1
1964-07-09,2592000,1
1964-07-10,420,1
1964-07-15,120,2
1964-07-15,180,1
1964-07-15,1200,1
1964-07-15,2400,1
1964-07-15,302400,1
1964-07-25,360,1
1964-08-01,300,1
1964-08-13,2592000,1
1964-08-14,3600,1
1964-08-15,10,1
1964-08-20,900,1
1964-08-20,2700,1
1964-09-15,600,1
1964-09-15,1200,1
1964-10-05,600,1
1964-10-20,300,1
1964-11-12,60,1
1964-11-15,600,1
1964-11-15,900,1
1964-11-22,900,1
1965-01-01,1728000,2
1965-01-05,300,1
1965-01-20,300,1
1965-02-16,1728000,1
1965-04-01,60,1
1965-04-01,120,1
1965-05-01,60,1
1965-05-15,45,1
1965-05-15,120,1
1965-06-01,180,1
1965-06-01,900,1
1965-06-01,1200,1
1965-06-01,18000,1
1965-06-01,864000,1
1965-06-01,2592000,1
1965-06-10,450,1
1965-06-15,300,1
1965-06-15,1200,1
1965-06-15,864000,1
1965-06-24,18000,1
1965-06-25,300,1
1965-06-30,120,1
1965-06-30,300,1
1965-06-30,600,2
1965-06-30,3600,1
1965-06-30,2592000,2
1965-07-01,750,1
1965-07-01,5184000,1
1965-07-10,3600,1
1965-07-12,900,1
1965-07-12,1296000,1
1965-07-15,1200,1
1965-07-15,16200,1
1965-07-20,10,1
1965-07-20,1200,1
1965-08-01,120,1
1965-08-01,900,1
1965-08-01,1200,1
1965-08-01,864000,1
1965-08-11,300,1
1965-08-12,180,1
1965-08-15,450,1
1965-08-15,600,1
1965-08-15,2700,1
1965-08-15,864000,1
1965-08-20,2592000,1
1965-09-05,864000,1
1965-09-15,19800,1
1965-09-19,90,1
1965-10-01,900,1
1965-10-12,60,1
1965-10-12,120,1
1965-10-16,60,1
1965-11-05,1200,1
1965-11-09,86400,1
1965-11-15,300,1
1965-12-09,120,1
1965-12-09,345600,1
1966-01-14,750,1
1966-02-13,600,1
1966-03-15,60,1
1966-03-15,259200,1
1966-05-01,1200,1
1966-05-04,7200,1
1966-05-15,330,1
1966-05-24,1200,1
1966-05-26,450,1
1966-06-01,45,1
1966-06-01,240,1
1966-06-01,300,1
1966-06-01,600,1
1966-06-01,900,1
1966-06-01,1800,1
1966-06-01,3600,1
1966-06-06,5400,1
1966-06-06,10800,1
1966-06-11,180,1
1966-06-15,120,1
1966-06-15,3600,2
1966-06-15,1728000,1
1966-06-19,1800,1
1966-06-20,600,1
1966-06-25,300,1
1966-06-25,259200,1
1966-06-30,300,5
1966-06-30,450,1
1966-06-30,1200,1
