Date/Time,Shape,Sightings
1928-07-12,Light,1
1929-01-28,Circle,1
1930-06-12,Sphere,1
1930-06-30,Disk,1
1932-02-02,Fireball,1
1934-09-15,Disk,1
1939-06-01,Fireball,1
1940-06-01,Formation,1
1942-06-01,Unknown,1
1943-10-15,Rectangle,1
1944-06-01,Disk,1
1945-06-01,Fireball,1
1945-06-15,Circle,1
1946-05-15,Other,1
1946-06-30,Fireball,1
1946-06-30,Sphere,1
1946-07-01,Oval,1
1947-04-15,Other,1
1947-06-01,Circle,1
1947-06-09,Fireball,1
1947-06-20,Circle,1
1947-07-04,Oval,1
1947-07-10,Circle,1
1947-07-15,Cylinder,1
1947-08-10,Unknown,1
1947-08-15,Cigar,1
1947-12-24,Cigar,1
1948-04-30,Disk,1
1948-06-15,Disk,1
1948-06-15,Light,1
1948-06-30,Oval,1
1948-07-15,Light,1
1948-11-07,Disk,1
1948-12-12,Circle,1
1949-06-30,Cigar,1
1949-06-30,Disk,1
1949-06-30,Other,1
1949-07-01,Disk,1
1949-08-15,Circle,1
1949-08-15,Cylinder,1
1949-09-15,Disk,1
1949-10-15,Cigar,1
1949-12-23,Disk,1
1950-06-01,Disk,1
1950-06-07,Oval,1
1950-06-15,Disk,2
1950-06-15,Oval,1
1950-06-20,Sphere,1
1950-06-30,Circle,1
1950-06-30,Disk,2
1950-06-30,Light,1
1950-07-02,Cigar,1
1950-07-15,Disk,1
1950-08-01,Other,1
1950-08-15,Disk,2
1950-09-10,Oval,1
1950-12-12,Other,1
1951-01-20,Cigar,1
1951-02-06,Disk,1
1951-06-30,Disk,1
1951-06-30,Unknown,1
1951-07-15,Sphere,1
1951-07-31,Disk,1
1952-05-15,Cylinder,1
1952-06-01,Disk,1
1952-06-12,Triangle,1
1952-06-15,Circle,1
1952-06-30,Disk,4
1952-06-30,Light,2
1952-07-01,Other,1
1952-09-09,Circle,1
1952-10-01,Disk,1
1952-10-15,Cigar,1
1952-10-15,Circle,1
1953-04-01,Sphere,1
1953-06-30,Fireball,1
1953-06-30,Oval,1
1953-07-01,Cigar,1
1953-07-04,Other,1
1953-07-17,Cone,1
1953-08-15,Other,1
1953-11-13,Other,1
1954-02-01,Unknown,1
1954-02-10,Other,1
1954-02-15,Disk,1
1954-05-26,Disk,1
1954-06-01,Disk,1
1954-06-01,Other,1
1954-06-10,Cigar,1
1954-06-30,Circle,1
1954-06-30,Light,1
1954-06-30,Unknown,1
1954-07-01,Circle,1
1954-07-15,Chevron,1
1954-10-01,Circle,1
1954-10-15,Circle,1
1954-11-12,Cigar,1
1954-12-16,Oval,1
1955-01-27,Other,1
1955-01-31,Light,1
1955-03-01,Disk,1
1955-05-15,Fireball,1
1955-06-06,Light,1
1955-06-30,Cigar,1
1955-06-30,Disk,2
1955-06-30,Light,1
1955-08-08,Fireball,1
1955-09-17,Disk,1
1956-03-06,Light,1
1956-05-17,Circle,1
1956-06-01,Circle,1
1956-06-01,Oval,1
1956-06-06,Other,1
1956-06-15,Cigar,1
1956-06-15,Disk,1
1956-06-15,Fireball,1
1956-06-16,Disk,1
1956-06-24,Sphere,1
1956-06-30,Diamond,1
1956-06-30,Disk,1
1956-06-30,Triangle,1
1956-07-14,Disk,1
1956-07-15,Circle,1
1956-07-15,Disk,1
1956-08-15,Disk,1
1956-09-09,Cigar,1
1956-12-01,Formation,1
1957-06-01,Light,1
1957-06-30,Circle,2
1957-06-30,Formation,1
1957-06-30,Sphere,1
1957-06-30,Unknown,1
1957-07-13,Disk,1
1957-07-15,Disk,1
1957-07-15,Light,1
1957-08-01,Disk,1
1957-08-07,Light,1
1957-08-17,Triangle,1
1957-09-01,Circle,1
1957-09-01,Sphere,1
1957-09-05,Disk,1
1957-09-15,Disk,1
1957-09-15,Fireball,1
1957-10-01,Unknown,1
1957-10-15,Disk,1
1958-01-30,Diamond,1
1958-06-06,Diamond,1
1958-06-15,Light,2
1958-06-30,Cylinder,1
1958-06-30,Disk,1
1958-06-30,Fireball,1
1958-06-30,Light,1
1958-06-30,Teardrop,1
1958-06-30,Unknown,1
1958-07-01,Unknown,1
1958-08-08,Disk,1
1958-08-10,Light,1
1958-08-15,Oval,1
1958-08-23,Light,1
1958-09-01,Triangle,1
1958-09-14,Circle,1
1958-10-25,Unknown,1
1958-10-30,Light,1
1958-11-25,Disk,1
1958-12-01,Light,1
1959-03-11,Circle,1
1959-03-15,Sphere,1
1959-04-01,Sphere,1
1959-05-30,Disk,1
1959-06-01,Light,1
1959-06-05,Circle,1
1959-06-10,Unknown,1
1959-06-15,Disk,1
1959-06-30,Circle,1
1959-06-30,Disk,1
1959-07-01,Cigar,1
1959-07-01,Disk,1
1959-08-13,Unknown,1
1959-08-15,Unknown,1
1959-09-28,Other,2
1959-10-01,Oval,1
1959-10-15,Other,1
1959-12-30,Fireball,1
1959-12-30,Unknown,1
1960-03-16,Disk,1
1960-04-14,Diamond,1
1960-04-30,Disk,1
1960-06-01,Cigar,1
1960-06-01,Circle,1
1960-06-01,Disk,1
1960-06-01,Other,1
1960-06-13,Disk,1
1960-06-15,Other,2
1960-06-21,Disk,1
1960-06-30,Disk,1
1960-07-01,Unknown,1
1960-07-15,Circle,1
1960-07-15,Light,1
1960-08-01,Cigar,1
1960-08-10,Circle,1
1960-08-15,Oval,1
1960-08-16,Fireball,1
1960-08-17,Other,1
1960-08-30,Circle,1
1960-09-30,Cylinder,1
1960-10-31,Light,1
1961-01-01,Circle,1
1961-03-12,Sphere,1
1961-05-15,Sphere,1
1961-06-01,Disk,1
1961-06-20,Circle,1
1961-06-30,Cigar,2
1961-06-30,Circle,2
1961-06-30,Disk,1
1961-06-30,Sphere,1
1961-07-15,Egg,1
1961-07-15,Unknown,1
1961-08-05,Disk,1
1961-08-05,Sphere,1
1961-09-15,Egg,1
1961-10-01,Disk,2
1961-10-10,Sphere,1
1961-10-15,Oval,1
1961-12-05,Fireball,1
1962-02-23,Egg,1
1962-03-01,Diamond,1
1962-03-15,Light,1
1962-03-15,Sphere,1
1962-06-01,Disk,1
1962-06-01,Unknown,1
1962-06-15,Sphere,1
1962-06-30,Circle,1
1962-06-30,Disk,1
1962-06-30,Other,1
1962-06-30,Triangle,1
1962-07-01,Disk,1
1962-07-07,Cylinder,1
1962-07-15,Cylinder,1
1962-07-15,Disk,2
1962-07-15,Other,1
1962-07-20,Disk,1
1962-07-24,Other,1
1962-08-01,Triangle,1
1962-08-15,Disk,1
1962-08-16,Disk,1
1962-09-01,Light,1
1962-09-15,Unknown,1
1962-09-29,Oval,1
1962-11-15,Sphere,1
1963-01-01,Diamond,1
1963-03-12,Disk,1
1963-03-15,Cylinder,1
1963-04-07,Disk,1
1963-04-10,Sphere,1
1963-04-20,Light,1
1963-05-01,Unknown,1
1963-05-04,Light,1
1963-05-04,Unknown,1
1963-05-30,Rectangle,1
1963-06-01,Cigar,1
1963-06-01,Other,1
1963-06-01,Sphere,1
1963-06-01,Triangle,1
1963-06-01,Unknown,1
1963-06-11,Circle,1
1963-06-15,Cone,1
1963-06-15,Disk,1
1963-06-15,Sphere,1
1963-06-15,Unknown,1
1963-06-30,Disk,3
1963-06-30,Rectangle,1
1963-07-14,Unknown,1
1963-07-15,Disk,2
1963-07-15,Light,1
1963-07-15,Sphere,1
1963-08-10,Other,1
1963-10-04,Disk,1
1963-12-10,Oval,1
1964-01-10,Fireball,1
1964-01-25,Sphere,1
1964-02-15,Circle,1
1964-03-29,Circle,1
1964-03-30,Cylinder,1
1964-04-03,Other,1
1964-04-15,Light,1
1964-05-05,Unknown,1
1964-05-16,Light,1
1964-06-01,Light,2
1964-06-01,Triangle,1
1964-06-09,Sphere,1
1964-06-10,Circle,1
1964-06-15,Formation,1
1964-06-28,Disk,1
1964-06-29,Changing,1
1964-06-30,Rectangle,1
1964-07-07,Light,1
1964-07-09,Disk,1
1964-07-10,Light,1
1964-07-15,Cigar,1
1964-07-15,Circle,1
1964-07-15,Disk,1
1964-07-15,Fireball,1
1964-07-15,Formation,1
1964-07-15,Other,1
1964-07-25,Disk,1
1964-08-01,Disk,1
1964-08-13,Disk,1
1964-08-14,Circle,1
1964-08-15,Fireball,1
1964-08-20,Unknown,2
1964-09-15,Disk,2
1964-10-05,Cigar,1
1964-10-20,Circle,1
1964-11-12,Disk,1
1964-11-15,Circle,1
1964-11-15,Sphere,1
1964-11-22,Circle,1
1965-01-01,Fireball,1
1965-01-01,Light,1
1965-01-05,Egg,1
1965-01-20,Circle,1
1965-02-16,Circle,1
1965-04-01,Disk,1
1965-04-01,Triangle,1
1965-05-01,Sphere,1
1965-05-15,Disk,1
1965-05-15,Sphere,1
1965-06-01,Cylinder,1
1965-06-01,Disk,3
1965-06-01,Light,1
1965-06-01,Oval,1
1965-06-01,Sphere,1
1965-06-10,Triangle,1
1965-06-15,Chevron,1
1965-06-15,Disk,1
1965-06-15,Other,1
1965-06-15,Sphere,1
1965-06-24,Disk,1
1965-06-25,Cigar,1
1965-06-30,Cigar,1
1965-06-30,Disk,2
1965-06-30,Flash,1
1965-06-30,Oval,1
1965-06-30,Rectangle,1
1965-06-30,Sphere,1
1965-06-30,Unknown,3
1965-07-01,Light,1
1965-07-01,Unknown,1
1965-07-10,Other,1
1965-07-12,Cigar,1
1965-07-12,Circle,1
1965-07-15,Circle,1
1965-07-15,Fireball,1
1965-07-15,Rectangle,1
1965-07-20,Disk,1
1965-07-20,Oval,1
1965-08-01,Disk,1
1965-08-01,Sphere,2
1965-08-01,Unknown,1
1965-08-11,Oval,1
1965-08-12,Oval,1
1965-08-15,Disk,1
1965-08-15,Light,2
1965-08-15,Oval,1
1965-08-20,Sphere,1
1965-09-05,Cylinder,1
1965-09-15,Light,1
1965-09-19,Disk,1
1965-10-01,Triangle,1
1965-10-12,Circle,1
1965-10-12,Disk,1
1965-10-15,Sphere,1
1965-10-16,Cylinder,1
1965-11-05,Light,1
1965-11-09,Sphere,1
1965-12-09,Fireball,2
1966-01-14,Light,1
1966-02-13,Disk,1
1966-03-01,Oval,1
1966-03-15,Disk,1
1966-03-15,Unknown,1
1966-04-01,Light,1
1966-05-01,Cigar,1
1966-05-01,Rectangle,1
1966-05-04,Sphere,1
1966-05-15,Disk,1
1966-05-24,Disk,1
1966-05-26,Light,1
1966-06-01,Disk,5
1966-06-01,Light,1
1966-06-01,Sphere,1
1966-06-01,Triangle,1
1966-06-01,Unknown,2
1966-06-06,Cigar,2
1966-06-11,Disk,1
1966-06-15,Circle,1
1966-06-15,Other,1
1966-06-15,Sphere,2
1966-06-19,Light,1
1966-06-20,Disk,1
1966-06-25,Cigar,1
1966-06-25,Unknown,1
1966-06-30,Circle,1
1966-06-30,Disk,4
1966-06-30,Other,3
1966-06-30,Oval,1
1966-06-30,Rectangle,1
1966-07-01,Other,1
1966-07-17,Circle,1
1966-07-25,Disk,1
1966-07-31,Light,1
1966-08-01,Cigar,1
1966-08-10,Oval,1
1966-09-08,Oval,1
1966-09-15,Oval,1
1966-10-10,Disk,1
1966-10-13,Disk,1
1966-10-15,Light,1
1966-10-15,Oval,1
1966-10-21,Disk,1
1966-11-14,Oval,1
1966-11-15,Circle,1
1966-11-15,Triangle,1
1966-11-21,Oval,1
1966-11-25,Oval,1
1966-12-15,Oval,1
1966-12-25,Unknown,1
1966-12-28,Triangle,1
1967-02-01,Disk,1
1967-02-02,Other,1
1967-02-20,Unknown,1
1967-03-02,Formation,1
1967-03-15,Circle,1
1967-04-01,Disk,1
1967-04-04,Unknown,1
1967-04-07,Disk,1
1967-04-14,Formation,1
1967-04-15,Chevron,1
1967-04-27,Formation,1
1967-05-01,Cigar,1
1967-05-01,Disk,1
1967-05-10,Oval,1
1967-05-15,Light,1
1967-05-15,Unknown,1
1967-06-01,Circle,2
1967-06-01,Cylinder,1
1967-06-01,Disk,1
1967-06-01,Light,1
1967-06-01,Oval,1
1967-06-01,Sphere,1
1967-06-01,Unknown,1
1967-06-04,Light,1
1967-06-14,Other,1
1967-06-15,Disk,1
1967-06-15,Sphere,1
1967-06-15,Triangle,1
1967-06-30,Circle,7
1967-06-30,Disk,1
1967-06-30,Light,2
1967-06-30,Other,1
1967-06-30,Sphere,1
1967-06-30,Triangle,1
1967-06-30,Unknown,1
1967-07-01,Disk,1
1967-07-01,Other,1
1967-07-02,Oval,1
1967-07-15,Light,1
1967-07-16,Sphere,1
1967-08-01,Disk,1
1967-08-05,Teardrop,1
1967-08-08,Light,1
1967-08-12,Triangle,1
1967-08-15,Egg,1
1967-08-15,Fireball,1
1967-08-15,Light,1
1967-08-15,Teardrop,1
