Date/Time,State,Sightings
1928-07-12,CA,1
1929-01-28,NM,1
1930-06-12,NC,1
1930-06-30,NY,1
1930-08-10,MO,1
1932-02-02,ID,1
1934-09-15,ND,1
1939-06-01,AL,1
1940-06-01,IN,1
1942-02-26,CA,1
1942-06-01,GA,1
1943-10-15,KY,1
1944-06-01,NM,1
1945-06-01,FL,1
1945-06-15,LA,1
1946-05-15,MD,1
1946-06-30,CA,1
1946-06-30,WA,1
1946-07-01,ME,1
1947-04-15,FL,1
1947-06-01,NM,1
1947-06-09,TX,1
1947-06-20,CA,1
1947-07-04,WA,1
1947-07-10,WA,1
1947-07-15,VA,1
1947-08-10,WI,1
1947-08-15,OK,1
1947-12-24,MI,1
1948-04-30,CA,1
1948-06-15,TX,1
1948-06-15,WA,1
1948-06-30,MD,1
1948-07-15,CA,1
1948-11-07,IN,1
1948-12-12,MD,1
1949-06-30,OR,1
1949-06-30,TN,1
1949-06-30,WY,1
1949-07-01,AK,1
1949-08-15,DE,1
1949-08-15,MN,1
1949-09-15,TX,1
1949-10-15,MD,1
1949-12-23,TX,1
1950-06-01,MS,1
1950-06-07,MD,1
1950-06-15,FL,1
1950-06-15,MI,1
1950-06-15,TX,1
1950-06-20,TX,1
1950-06-30,CO,2
1950-06-30,TX,1
1950-06-30,WI,1
1950-07-02,ID,1
1950-07-15,CA,1
1950-08-01,KY,1
1950-08-15,OR,2
1950-09-10,MN,1
1950-12-12,CA,1
1951-01-20,CA,1
1951-02-06,NM,1
1951-06-30,AL,1
1951-06-30,PA,1
1951-07-15,WA,1
1951-07-31,WA,1
1952-05-15,PA,1
1952-06-01,CA,1
1952-06-01,WI,1
1952-06-12,CA,1
1952-06-15,CA,1
1952-06-30,FL,4
1952-06-30,NY,1
1952-06-30,TX,1
1952-07-01,MN,1
1952-09-09,PA,1
1952-10-01,MO,1
1952-10-15,WA,2
1953-04-01,MA,1
1953-05-20,AZ,1
1953-06-01,CA,1
1953-06-30,OH,1
1953-06-30,WA,1
1953-07-01,LA,1
1953-07-04,NE,1
1953-07-17,IN,1
1953-08-15,NM,1
1953-11-13,IL,1
1954-02-01,AK,1
1954-02-10,NY,1
1954-02-15,CA,1
1954-05-26,IL,1
1954-06-01,CA,1
1954-06-01,TX,1
1954-06-10,CO,1
1954-06-30,CA,2
1954-06-30,MI,1
1954-07-01,CA,1
1954-07-15,KS,1
1954-08-15,IN,1
1954-10-01,WV,1
1954-10-15,MI,1
1954-11-12,NM,1
1954-12-16,CA,1
1955-01-27,TX,1
1955-01-31,OK,1
1955-03-01,CA,1
1955-05-15,FL,1
1955-06-06,FL,1
1955-06-15,MI,1
1955-06-30,AR,1
1955-06-30,CA,1
1955-06-30,NC,1
1955-06-30,TX,1
1955-08-08,MO,1
1955-09-17,SC,1
1956-03-06,OR,1
1956-05-17,OK,1
1956-06-01,KY,1
1956-06-01,MA,1
1956-06-06,OH,1
1956-06-15,CA,1
1956-06-15,NJ,1
1956-06-15,TN,1
1956-06-15,TX,1
1956-06-16,OH,1
1956-06-24,CA,1
1956-06-30,MO,1
1956-06-30,NJ,1
1956-06-30,TX,1
1956-07-14,CA,1
1956-07-15,KS,1
1956-07-15,OH,1
1956-08-15,CO,1
1956-09-09,VA,1
