Date/Time,Sightings
1969-01-08,1
1969-03-01,1
1969-03-15,1
1969-03-17,1
1969-04-01,1
1969-04-04,1
1969-05-15,1
1969-05-30,1
1969-06-01,8
1969-06-10,1
1969-06-15,4
1969-06-25,1
1969-06-30,4
1969-07-01,3
1969-07-04,2
1969-07-07,1
1969-07-15,4
1969-07-23,1
1969-07-27,1
1969-07-30,1
1969-07-31,1
1969-08-01,3
1969-08-03,1
1969-08-10,1
1969-08-13,1
1969-08-15,6
1969-09-29,1
1969-10-15,3
1969-10-21,1
1969-10-29,1
1969-10-30,1
1969-11-01,1
1969-11-13,1
1969-11-21,1
1969-12-23,1
1969-12-25,1
1970-01-01,1
1970-01-22,1
1970-03-10,1
1970-03-12,1
1970-04-15,1
1970-05-01,1
1970-05-15,1
1970-06-01,5
1970-06-09,1
1970-06-10,1
1970-06-15,4
1970-06-16,1
1970-06-20,1
1970-06-22,1
1970-06-23,1
1970-06-24,1
1970-06-25,1
1970-06-30,5
1970-07-01,2
1970-07-02,1
1970-07-07,1
1970-07-12,1
1970-07-15,3
1970-07-20,1
1970-07-22,2
1970-08-01,1
1970-08-15,2
1970-08-20,1
1970-08-30,1
1970-09-01,1
1970-09-07,1
1970-09-08,1
1970-09-15,1
1970-09-20,1
1970-09-21,1
1970-09-22,2
1970-10-01,1
1970-10-02,1
1970-10-10,1
1970-10-30,1
1970-11-15,1
1970-12-20,1
1970-12-24,1
1971-01-15,1
1971-02-05,1
1971-02-15,2
1971-03-03,1
1971-04-05,1
1971-04-06,1
1971-04-15,1
1971-05-05,1
1971-05-15,1
1971-05-20,2
1971-06-01,7
1971-06-10,3
1971-06-14,1
1971-06-15,1
1971-06-27,1
1971-06-30,7
1971-07-14,1
1971-07-15,1
1971-07-20,1
1971-07-30,1
1971-08-01,2
1971-08-15,2
1971-08-19,1
1971-09-15,2
1971-10-10,1
1971-10-13,1
1971-12-25,1
1972-03-15,2
1972-04-01,1
1972-04-14,1
1972-05-05,1
1972-05-15,1
1972-05-30,1
1972-06-01,5
1972-06-07,1
1972-06-09,1
1972-06-14,1
1972-06-15,3
1972-06-20,1
1972-06-22,1
1972-06-30,11
1972-07-01,2
1972-07-05,1
1972-07-10,1
1972-07-15,2
1972-07-16,1
1972-07-20,1
1972-08-01,1
1972-08-10,1
1972-08-12,1
1972-08-15,1
1972-08-17,1
1972-08-20,1
1972-08-28,1
1972-09-01,1
1972-09-15,1
1972-09-20,1
1972-10-01,2
1972-10-05,1
1972-10-08,1
1972-10-29,1
1972-11-01,1
1972-11-20,1
1972-12-24,1
1973-01-14,1
1973-02-01,2
1973-02-02,1
1973-02-03,1
1973-02-10,1
1973-02-15,1
1973-03-01,1
1973-03-07,1
1973-03-15,1
1973-03-16,1
1973-03-23,1
1973-04-01,1
1973-04-15,1
1973-05-01,2
1973-05-05,1
1973-05-14,1
1973-06-01,7
1973-06-06,1
1973-06-07,1
1973-06-08,1
1973-06-13,1
1973-06-15,5
1973-06-17,1
1973-06-21,1
1973-06-30,4
1973-07-01,2
1973-07-05,2
1973-07-12,1
1973-07-14,1
1973-07-15,3
1973-07-20,1
1973-07-22,2
1973-07-23,1
1973-08-01,1
1973-08-05,1
1973-08-10,1
1973-08-15,2
1973-08-20,1
1973-09-03,1
1973-09-12,1
1973-09-15,1
1973-09-20,1
1973-09-22,1
1973-09-23,1
1973-09-25,1
1973-10-01,6
1973-10-03,1
1973-10-04,1
1973-10-11,1
1973-10-13,1
1973-10-15,6
1973-10-17,2
1973-10-18,1
1973-10-20,1
1973-10-21,3
1973-10-30,2
1973-11-22,1
1973-11-24,1
1974-01-07,1
1974-01-30,1
1974-02-14,1
1974-02-15,1
1974-03-15,1
1974-04-01,2
1974-04-03,1
1974-04-04,1
1974-04-06,1
1974-04-15,2
1974-04-23,1
1974-05-01,3
1974-05-10,1
1974-05-14,1
1974-05-15,1
1974-05-23,1
1974-06-01,8
1974-06-06,1
1974-06-08,1
1974-06-12,1
1974-06-14,1
1974-06-15,4
1974-06-20,2
1974-06-24,1
1974-06-25,1
1974-06-30,8
1974-07-01,2
1974-07-11,1
1974-07-15,3
1974-07-16,1
1974-07-18,1
1974-07-20,2
1974-07-21,1
1974-07-22,1
1974-07-26,1
1974-08-01,3
1974-08-07,1
1974-08-08,1
1974-08-09,1
1974-08-10,3
1974-08-16,1
1974-08-21,1
1974-08-23,1
1974-09-01,3
1974-09-08,1
1974-09-13,1
1974-09-15,2
1974-09-23,1
1974-09-29,1
1974-10-01,3
1974-10-05,1
1974-10-06,1
1974-10-07,1
1974-10-14,1
1974-10-15,3
1974-10-20,1
1974-10-22,1
1974-11-02,1
1974-11-04,1
1974-11-13,1
1974-11-15,3
1974-11-16,1
1974-11-17,1
1974-12-01,1
1974-12-05,1
1975-01-01,2
1975-01-06,1
1975-01-17,1
1975-03-03,1
1975-03-08,1
1975-03-13,1
1975-03-15,1
1975-03-20,1
1975-04-01,3
1975-05-15,1
1975-05-30,1
1975-06-01,11
1975-06-06,2
1975-06-08,1
1975-06-10,2
1975-06-15,6
1975-06-20,2
1975-06-21,2
1975-06-23,1
1975-06-30,11
1975-07-01,2
1975-07-07,1
1975-07-11,1
1975-07-13,1
1975-07-15,7
1975-07-16,1
1975-07-17,1
1975-07-18,1
1975-07-19,1
1975-07-21,1
1975-07-22,2
1975-08-01,3
1975-08-05,1
1975-08-07,1
1975-08-15,4
1975-08-16,1
1975-08-19,1
1975-08-30,1
1975-09-04,1
1975-10-01,2
1975-10-10,1
1975-10-13,1
1975-10-15,5
1975-10-21,1
1975-10-31,1
1975-11-01,1
1975-11-05,1
1975-11-15,1
1975-11-16,1
1975-12-01,1
1975-12-18,1
1975-12-23,1
1975-12-25,1
1975-12-31,1
1976-01-06,1
1976-01-15,1
1976-02-15,1
1976-02-23,1
1976-04-15,1
1976-04-19,1
1976-04-25,1
1976-05-01,3
1976-05-29,1
1976-06-01,17
1976-06-06,2
1976-06-08,1
1976-06-15,9
1976-06-22,1
1976-06-26,1
1976-06-30,12
1976-07-01,2
1976-07-04,3
1976-07-08,1
1976-07-10,1
1976-07-12,1
1976-07-15,12
1976-07-17,1
1976-07-19,1
1976-07-26,1
1976-07-27,1
1976-07-28,1
1976-08-01,2
1976-08-08,2
1976-08-11,1
1976-08-15,2
1976-08-20,3
1976-08-30,1
1976-09-01,3
1976-09-10,1
1976-09-15,4
1976-10-01,1
1976-10-10,1
1976-10-12,1
1976-10-15,1
1976-10-20,1
1976-11-01,3
1976-11-11,1
1976-11-18,1
1976-12-09,1
1976-12-12,1
1976-12-24,1
1976-12-27,1
1976-12-31,1
1977-01-01,2
1977-01-10,1
1977-01-14,2
1977-03-01,1
1977-03-02,1
1977-03-15,1
1977-03-19,1
1977-03-20,1
1977-03-27,2
1977-04-11,1
1977-04-14,1
1977-04-15,3
1977-04-20,1
1977-05-08,1
1977-05-25,1
1977-06-01,12
1977-06-11,1
1977-06-15,5
1977-06-16,1
1977-06-17,1
1977-06-19,1
1977-06-24,1
1977-06-30,4
1977-07-01,4
1977-07-04,2
1977-07-05,1
1977-07-06,1
1977-07-10,2
1977-07-12,3
1977-07-14,1
1977-07-15,3
1977-07-17,2
1977-07-20,2
1977-07-25,1
1977-08-01,2
1977-08-07,1
1977-08-08,1
1977-08-10,1
1977-08-13,1
1977-08-15,5
1977-09-01,3
1977-09-07,1
1977-09-15,4
1977-10-01,1
1977-10-10,1
1977-10-15,2
1977-10-26,1
1977-10-31,1
1977-11-22,1
1977-12-15,1
1977-12-17,1
1977-12-23,1
1977-12-28,1
1978-01-01,1
1978-01-07,1
1978-01-12,1
1978-01-22,1
1978-02-09,1
1978-02-15,1
1978-03-01,1
1978-03-04,1
1978-03-15,1
1978-03-21,1
1978-03-25,1
1978-03-28,2
1978-04-01,1
1978-04-04,1
1978-04-06,1
1978-04-15,2
1978-04-24,1
1978-05-06,1
1978-05-07,1
1978-05-10,1
1978-05-15,4
1978-05-29,1
1978-06-01,12
1978-06-05,1
1978-06-15,1
1978-06-20,1
1978-06-21,1
1978-06-24,1
1978-06-30,9
1978-07-01,4
1978-07-04,4
1978-07-07,1
1978-07-10,1
1978-07-15,7
1978-07-20,1
1978-07-21,1
1978-07-22,2
1978-07-25,1
1978-07-26,1
1978-07-29,1
1978-08-01,4
1978-08-05,1
1978-08-12,1
1978-08-13,1
1978-08-14,1
1978-08-15,7
1978-08-17,1
1978-08-19,1
1978-08-20,1
1978-08-22,1
1978-08-24,1
1978-09-01,4
1978-09-09,1
1978-09-15,2
1978-09-16,1
1978-10-01,1
1978-10-03,1
1978-10-10,1
1978-10-12,3
1978-10-15,2
1978-11-01,3
1978-11-11,1
1978-11-15,1
1978-11-20,1
1978-11-21,1
1978-11-25,1
1978-11-27,1
1978-12-15,1
1978-12-20,1
1979-01-02,1
1979-01-07,1
1979-01-09,1
1979-02-13,1
1979-02-15,1
1979-02-17,1
1979-02-20,1
1979-02-23,1
1979-03-25,1
1979-03-29,2
1979-03-31,2
1979-04-01,1
1979-05-01,1
1979-05-15,2
1979-05-22,1
1979-06-01,11
1979-06-05,1
1979-06-15,6
1979-06-23,1
1979-06-26,1
1979-06-30,8
1979-07-01,2
1979-07-03,1
1979-07-05,1
1979-07-11,1
1979-07-13,1
1979-07-14,1
